Name,Latitude,Longitude,Description
Rajajinagar,12.991,77.5568,New cafe opened in the area.
Rajajinagar,12.991,77.5568,Road construction causing delays.
Koramangala,12.9352,77.6245,Heavy vehicle movement observed.
Hebbal,13.0358,77.597,Heavy vehicle movement observed.
Indiranagar,12.9784,77.6408,Traffic congestion reported.
Whitefield,12.9698,77.7499,Road construction causing delays.
Rajajinagar,12.991,77.5568,Waterlogging due to rain.
MG Road,12.9746,77.6068,High pollution levels recorded.
Rajajinagar,12.991,77.5568,Traffic congestion reported.
Whitefield,12.9698,77.7499,Power outage in the locality.
Hebbal,13.0358,77.597,Accident reported near the signal.
Hebbal,13.0358,77.597,New metro station construction.
Electronic City,12.839,77.677,Accident reported near the signal.
MG Road,12.9746,77.6068,Public event happening soon.
Majestic,12.9784,77.5724,Waterlogging due to rain.
Jayanagar,12.925,77.5938,Waterlogging due to rain.
MG Road,12.9746,77.6068,Waterlogging due to rain.
Banashankari,12.9184,77.5734,New cafe opened in the area.
Rajajinagar,12.991,77.5568,Accident reported near the signal.
Whitefield,12.9698,77.7499,Waterlogging due to rain.
Koramangala,12.9352,77.6245,Road construction causing delays.
Hebbal,13.0358,77.597,Power outage in the locality.
Whitefield,12.9698,77.7499,Waterlogging due to rain.
Rajajinagar,12.991,77.5568,Heavy vehicle movement observed.
Majestic,12.9784,77.5724,Public event happening soon.
Banashankari,12.9184,77.5734,Traffic congestion reported.
Hebbal,13.0358,77.597,New cafe opened in the area.
MG Road,12.9746,77.6068,Waterlogging due to rain.
Indiranagar,12.9784,77.6408,Power outage in the locality.
Majestic,12.9784,77.5724,Waterlogging due to rain.
Electronic City,12.839,77.677,Heavy vehicle movement observed.
Koramangala,12.9352,77.6245,Road construction causing delays.
Koramangala,12.9352,77.6245,Accident reported near the signal.
Banashankari,12.9184,77.5734,New metro station construction.
Hebbal,13.0358,77.597,Waterlogging due to rain.
MG Road,12.9746,77.6068,New metro station construction.
Majestic,12.9784,77.5724,High pollution levels recorded.
Indiranagar,12.9784,77.6408,Power outage in the locality.
Electronic City,12.839,77.677,New metro station construction.
Banashankari,12.9184,77.5734,New metro station construction.
Indiranagar,12.9784,77.6408,Traffic congestion reported.
Rajajinagar,12.991,77.5568,New cafe opened in the area.
Majestic,12.9784,77.5724,New metro station construction.
Majestic,12.9784,77.5724,New cafe opened in the area.
MG Road,12.9746,77.6068,Accident reported near the signal.
Electronic City,12.839,77.677,New cafe opened in the area.
Koramangala,12.9352,77.6245,Traffic congestion reported.
Banashankari,12.9184,77.5734,Power outage in the locality.
Rajajinagar,12.991,77.5568,High pollution levels recorded.
Indiranagar,12.9784,77.6408,Traffic congestion reported.
